name,price,rating,image_url,image_path,source
"Lenovo IdeaPad Gaming 3 15ACH6 Laptop With 15.6-Inch Display, AMD Ryzen 5-5500H Processor/8GB RAM/512GB SSD/8GB RAM/4GB NVIDIA GeForce RTX 2050 Graphics/Windows 11 Home English/Arabic Shadow Black","56,400",4.710,https://f.nooncdn.com/p/pnsku/N70119330V/45/_/1728976371/ac708a6f-8702-4186-8d1d-b0b6ebfa5129.jpg?width=800,product_images/Lenovo IdeaPad Gaming 3 15ACH6 Laptop With 156Inch.jpg,Noon
"HP (Upgraded Version) 15s Business Laptop With 15.6-Inch FHD Display, Core i7-1255U Processor/16GB RAM/1TB SSD/Intel Iris XE Graphics/Windows 11 English Natural Silver","88,500",3.524,https://f.nooncdn.com/p/pnsku/N70093635V/45/_/1721308724/2a0160a6-c973-4be7-a197-890c9a466bdb.jpg?width=800,product_images/HP Upgraded Version 15s Business Laptop With 156In.jpg,Noon
"DELL Latitude 5400 Business Laptop With 14-Inch Full HD Display, Core i7-8665U Processor/16GB RAM/512GB SSD/Intel UHD Graphics/Windows 10 Pro/International Version English/Arabic Black (Upgraded Version)","21,400",2.995,https://f.nooncdn.com/p/v1649936767/N41319182A_1.jpg?width=800,product_images/DELL Latitude 5400 Business Laptop With 14Inch Ful.jpg,Noon
HP (Upgraded Version) ELITEBOOK 840 G7 English/Arabic SILVER English/Arabic SILVER,"24,830",0.0,https://f.nooncdn.com/p/pnsku/N70144377V/45/_/1737370021/e8eefd88-2f67-4172-bd78-0673ceb39afe.jpg?width=800,product_images/HP Upgraded Version ELITEBOOK 840 G7 EnglishArabic.jpg,Noon
"DELL Latitude 5580 Laptop With 15.6-Inch Display, Core i5 Processor/4GB RAM/500GB HDD/Intel HD Graphics 520/DOS (Without Windows) Black","16,200",0.0,https://f.nooncdn.com/p/v1649346889/N14163862A_1.jpg?width=800,product_images/DELL Latitude 5580 Laptop With 156Inch Display Cor.jpg,Noon
"HP (Upgraded Version) Envy x360 Laptop With 14-Inch Full HD Display, Core 5 120U Processor/8GB RAM/1TB SSD/Intel UHD Graphics/Windows 11 Home English Natural Silver English Natural Silver","78,250",0.0,https://f.nooncdn.com/p/pnsku/N70171071V/45/_/1745817674/a2eec71b-d709-4f5a-b9d2-07509aed695a.jpg?width=800,product_images/HP Upgraded Version Envy x360 Laptop With 14Inch F.jpg,Noon
"DELL Alienware 16 Aurora Laptop With 16 Inch QHD Display 120Hz, Core 7-240H Processor/16GB RAM DDR5/1TB SSD/6GB Nvidia GeForce RTX 4050 Graphics/DOS(Without Windows)/ English/Arabic Black","60,650",0.0,https://f.nooncdn.com/p/pnsku/N70284094V/45/_/1770107460/898e2705-e3cf-4ed2-a2b5-c86766bd97d2.jpg?width=800,product_images/DELL Alienware 16 Aurora Laptop With 16 Inch QHD D.jpg,Noon
"HP (Upgraded Version) Laptop With 15.6-Inch Full HD Display, Intel Core i3-1115G4 Processor/4GB RAM/512GB SSD/Intel Iris XE Graphics/Windows 11 Home English Natural Silver English Natural Silver","50,500",0.0,https://f.nooncdn.com/p/pnsku/N70169991V/45/_/1745391699/6a0990c7-184f-40d2-89cb-f790672859fd.jpg?width=800,product_images/HP Upgraded Version Laptop With 156Inch Full HD Di.jpg,Noon
"HP Victus 15-FA Gaming (Upgraded Version) Laptop With 15.6-Inch Display, Core i5-13420H Processor/16GB RAM/512GB SSD/6GB NVIDIA Geforce RTX 4050 Graphics Card/Windows 11 Pro English Mica Silver","75,000",0.0,https://f.nooncdn.com/p/pnsku/N70136008V/45/_/1734934087/38170741-124c-430c-9069-77bcf37d0ec1.jpg?width=800,product_images/HP Victus 15FA Gaming Upgraded Version Laptop With.jpg,Noon
"HP ProBook 430 G6 Laptop With 13.3-Inch Display, Core i5 Processor/4GB RAM/1TB HDD/Intel UHD Graphics 620 Silver","15,000",0.0,https://f.nooncdn.com/p/v1600783046/N38929880A_1.jpg?width=800,product_images/HP ProBook 430 G6 Laptop With 133Inch Display Core.jpg,Noon
"HP EliteBook 840 G8 Laptop With 14-Inch Display, Core i7-1165G7 Processor/16GB RAM/512GB SSD/Intel Iris XE Graphics/Windows 11 Pro English Silver","27,500",0.0,https://f.nooncdn.com/p/pnsku/N70040507V/45/_/1706162909/dcffa8c2-2604-46e2-92dc-cebd73237758.jpg?width=800,product_images/HP EliteBook 840 G8 Laptop With 14Inch Display Cor.jpg,Noon
"HP Stream 11 Pro G4 EE Laptop With 11.6-Inch Display, Celeron Processor/4GB RAM/128GB Flash Memory/Intel HD Graphics 550 Black","14,500",0.0,https://f.nooncdn.com/p/v1579668977/N30065962A_1.jpg?width=800,product_images/HP Stream 11 Pro G4 EE Laptop With 116Inch Display.jpg,Noon
DELL Vostro 15 3515 Laptop With 15.6-Inch Display / Ryzen 7 3700U 8GB RAM / 512GB SSD / Radeon RX Vega 10 / Ubuntu / English Titan Black,"23,330",4.02,https://f.nooncdn.com/p/v1654000358/N53329242A_1.jpg?width=800,product_images/DELL Vostro 15 3515 Laptop With 156Inch Display  R.jpg,Noon
"DELL Latitude E7470 Business Laptop With 14-Inch Display, Core i7 Processor/8GB RAM/256GB SSD/Intel HD Graphics 520 Black","16,650",0.0,https://f.nooncdn.com/p/v1577964076/N29602628A_1.jpg?width=800,product_images/DELL Latitude E7470 Business Laptop With 14Inch Di.jpg,Noon
"HP (Upgraded Version) EliteBook 840 G8 Laptop With 14-Inch Display, Core i7-1165G7 Processor/16GB RAM/1TB SSD/Intel Iris Xe Graphics/Windows 11 Pro + BROAG Extension Cable English Silver","111,000",2.815,https://f.nooncdn.com/p/pnsku/N70037665V/45/_/1705482276/642f133a-1674-492e-88b5-c2927549b9d9.jpg?width=800,product_images/HP Upgraded Version EliteBook 840 G8 Laptop With 1.jpg,Noon
"HP Zbook Firefly 14 G8 2C9R0EA Laptop With 14-Inch FHD Display, Core i7-1165G7 Processor / 16GB RAM / 512GB SSD / 4GB NVIDIA Graphics / Win10 Pro / English/Arabic Silver","34,800",0.0,https://f.nooncdn.com/p/v1669187207/N53367282A_1.jpg?width=800,product_images/HP Zbook Firefly 14 G8 2C9R0EA Laptop With 14Inch .jpg,Noon
DELL Latitude E5580 Business Laptop | Intel Core i5-6th Generation CPU | 8GB DDR4 RAM | 256GB SSD Hard | 15.6 inch Display | Windows 10 Pro English Grey,"15,900",0.0,https://f.nooncdn.com/p/pnsku/N53435850A/45/_/1694517708/77a21c00-e566-41ad-ac6f-1b9fe620e60c.jpg?width=800,product_images/DELL Latitude E5580 Business Laptop  Intel Core i5.jpg,Noon
"DELL (Upgraded Version) Latitude 3520 Notebook 15.6-Inch Display, Core i5-1135G7 Processor/16GB RAM/1TB SSD//Integrated Graphics/Windows 10 Pro English Black English Black","32,000",0.0,https://f.nooncdn.com/p/v1691209980/N53426068A_1.jpg?width=800,product_images/DELL Upgraded Version Latitude 3520 Notebook 156In.jpg,Noon
"HP (Upgraded Version) ProBook 450 G9 Business Laptop With 15.6-Inch FHD Display, Core i5-1235U Processor/32GB RAM/1TB SSD/Intel Iris XE Graphics/Windows 11 Pro + Durlyfish English Silver","82,750",0.0,https://f.nooncdn.com/p/pnsku/N70065044V/45/_/1714118653/1255cbd0-3460-4725-93fb-22f6841fe66a.jpg?width=800,product_images/HP Upgraded Version ProBook 450 G9 Business Laptop.jpg,Noon
"Acer (Upgraded Version) Predator Helios Neo PHN16 Gaming Laptop 16-Inch WQXGA IPS 165Hz Display, 14th Gen Core i9-14900HX 24 Cores Upto 5.8GHz/16GB DDR5/1TB SSD/8GB Nvidia Geforce RTX 4060/Windows 11/ / Abyssal  / Abyssal English/Arabic Abyssal Black","230,500",3.924,https://f.nooncdn.com/p/pnsku/N70046361V/45/_/1764242319/bec0c86f-ff3a-40c5-91a5-2620d9b05d36.jpg?width=800,product_images/Acer Upgraded Version Predator Helios Neo PHN16 Ga.jpg,Noon
